Gene_Name,B.plasma,T4.CM,T8.EM,Treg.naive,mDC,Mono.classical,Mono.nonclassical
PIGR,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CR2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD46,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CD8A,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
SEMA4C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA4,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CD28,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CTLA4,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
ICOS,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
EPHA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PDCD1,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CHL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ALCAM,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD47,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD96,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CD200,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BTLA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD200R1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TIGIT,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CD80,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
CD86,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
PLXND1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
EPHB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF10,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
IL1RAP,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
CSF1R,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
FGFR4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-F,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-G,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HLA-E,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PRR3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNF,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DRA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DRB1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
HLA-DR1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
PI16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF21,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
IFNGR1,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
ULBP3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NRCAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
EFNB1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD40LG,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SLITRK4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNB3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
L1CAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF10C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF10A,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FGFR1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SDC2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
CD274,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
CD72,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
SEMA4D,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
CD44,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CD6,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
NCAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CADM1,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
MCAM,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
THY1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NECTIN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CRTAM,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
APLP2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
JAM3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
VSIR,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FAS,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CD27,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
LAG3,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
KLRG1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KLRB1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CLEC2D,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
KLRF1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CLEC2B,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
OLR1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KLRK1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
KLRC1,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CNTN1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
PLXNC1,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
SELPLG,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
FLT3,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
TNFSF11,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF13B,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
JAG2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SEMA7A,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
VASN,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF17,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGAL,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
ITGAM,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
ITGAX,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
ITGAD,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CDH1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
GLG1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
GP1BA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFSF12,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFSF13,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
TNFRSF13B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ITGA2B,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICAM2,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
PECAM1,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
CDH2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSC3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSC2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSC1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSG1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DSG2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
CD226,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SIRPG,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
SIRPA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
JAG1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD93,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
CD40,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
TNFSF9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
CD70,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
TNFSF14,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE
FCER2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD209,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ICAM1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE
ICAM3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BST2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
CEACAM5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CEACAM1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD177,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PVR,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
NECTIN2,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
FLT3LG,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
LILRB2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
LILRA4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
LAIR1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
LILRB1,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
LILRB4,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
KIR3DL1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
KIR3DL2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TNFRSF13C,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PLXNB2,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
APP,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ICOSLG,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CD97,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
